amount	species	pu
29	1	1
31	1	1
45	1	1
51	1	1
68	1	1
69	1	1
71	1	1
83	1	1
91	1	1
95	1	1
44	2	1
52	2	1
54	2	1
64	2	1
70	2	1
84	2	1
98	2	1
20	3	1
24	3	1
38	3	1
45	3	1
48	3	1
58	3	1
64	3	1
73	3	1
99	3	1
2	4	1
29	4	1
42	4	1
48	4	1
49	4	1
55	4	1
56	4	1
68	4	1
73	4	1
76	4	1
79	4	1
80	4	1
88	4	1
93	4	1
94	4	1
97	4	1
11	5	1
55	5	1
59	5	1
65	5	1
66	5	1
75	5	1
87	5	1
90	5	1
95	5	1
96	5	1
99	5	1
11	6	1
12	6	1
27	6	1
31	6	1
38	6	1
43	6	1
49	6	1
50	6	1
52	6	1
60	6	1
62	6	1
71	6	1
72	6	1
73	6	1
79	6	1
89	6	1
92	6	1
93	6	1
97	6	1
12	7	1
17	7	1
20	7	1
33	7	1
34	7	1
40	7	1
41	7	1
43	7	1
46	7	1
49	7	1
51	7	1
55	7	1
56	7	1
57	7	1
63	7	1
70	7	1
71	7	1
72	7	1
74	7	1
75	7	1
77	7	1
81	7	1
86	7	1
87	7	1
91	7	1
93	7	1
96	7	1
97	7	1
99	7	1
2	8	1
28	8	1
37	8	1
39	8	1
40	8	1
50	8	1
53	8	1
56	8	1
57	8	1
58	8	1
62	8	1
66	8	1
71	8	1
72	8	1
75	8	1
76	8	1
83	8	1
86	8	1
87	8	1
89	8	1
90	8	1
96	8	1
98	8	1
12	9	1
19	9	1
23	9	1
31	9	1
38	9	1
42	9	1
48	9	1
50	9	1
58	9	1
59	9	1
70	9	1
73	9	1
81	9	1
82	9	1
85	9	1
88	9	1
89	9	1
95	9	1
3	10	1
18	10	1
19	10	1
24	10	1
26	10	1
28	10	1
31	10	1
32	10	1
34	10	1
35	10	1
36	10	1
38	10	1
39	10	1
41	10	1
42	10	1
43	10	1
49	10	1
53	10	1
55	10	1
56	10	1
57	10	1
58	10	1
60	10	1
62	10	1
63	10	1
66	10	1
68	10	1
75	10	1
78	10	1
79	10	1
80	10	1
81	10	1
83	10	1
84	10	1
86	10	1
89	10	1
94	10	1
95	10	1
97	10	1
24	11	1
28	11	1
31	11	1
37	11	1
38	11	1
39	11	1
41	11	1
44	11	1
45	11	1
47	11	1
50	11	1
58	11	1
66	11	1
70	11	1
72	11	1
78	11	1
80	11	1
83	11	1
85	11	1
86	11	1
87	11	1
88	11	1
89	11	1
8	12	1
15	12	1
17	12	1
18	12	1
24	12	1
25	12	1
30	12	1
31	12	1
32	12	1
33	12	1
36	12	1
38	12	1
42	12	1
44	12	1
50	12	1
51	12	1
52	12	1
53	12	1
54	12	1
65	12	1
67	12	1
68	12	1
69	12	1
74	12	1
76	12	1
77	12	1
80	12	1
82	12	1
86	12	1
87	12	1
88	12	1
90	12	1
94	12	1
6	13	1
10	13	1
14	13	1
15	13	1
18	13	1
21	13	1
24	13	1
29	13	1
30	13	1
36	13	1
38	13	1
40	13	1
41	13	1
45	13	1
48	13	1
49	13	1
51	13	1
53	13	1
66	13	1
69	13	1
70	13	1
72	13	1
74	13	1
76	13	1
79	13	1
84	13	1
86	13	1
94	13	1
97	13	1
3	14	1
5	14	1
18	14	1
20	14	1
22	14	1
34	14	1
35	14	1
41	14	1
43	14	1
46	14	1
51	14	1
66	14	1
68	14	1
71	14	1
82	14	1
86	14	1
90	14	1
91	14	1
92	14	1
95	14	1
97	14	1
2	15	1
4	15	1
7	15	1
8	15	1
13	15	1
16	15	1
17	15	1
20	15	1
21	15	1
25	15	1
31	15	1
37	15	1
40	15	1
43	15	1
48	15	1
58	15	1
60	15	1
64	15	1
66	15	1
76	15	1
5	16	1
6	16	1
16	16	1
18	16	1
19	16	1
20	16	1
43	16	1
44	16	1
47	16	1
50	16	1
74	16	1
82	16	1
93	16	1
6	17	1
11	17	1
14	17	1
22	17	1
27	17	1
28	17	1
34	17	1
50	17	1
56	17	1
57	17	1
59	17	1
76	17	1
89	17	1
6	18	1
14	18	1
15	18	1
20	18	1
21	18	1
48	18	1
82	18	1
1	19	1
6	19	1
10	19	1
11	19	1
12	19	1
13	19	1
18	19	1
22	19	1
3	20	1
4	20	1
12	20	1
19	20	1
1	21	1
3	21	1
4	21	1
5	21	1
7	21	1
9	21	1
12	21	1
1	22	1
2	22	1
6	22	1
7	22	1
3	23	1
1	24	1
2	24	1
9	24	1
10	24	1
12	24	1
18	24	1
28	24	1
48	1	2
89	1	2
90	1	2
55	3	2
65	3	2
57	4	2
95	4	2
44	6	2
26	7	2
32	7	2
35	7	2
48	7	2
66	7	2
69	7	2
76	7	2
89	7	2
94	7	2
31	8	2
42	8	2
63	8	2
68	8	2
91	8	2
92	8	2
93	8	2
94	8	2
14	9	2
40	9	2
41	9	2
60	9	2
64	9	2
80	9	2
84	9	2
93	9	2
96	9	2
22	10	2
29	10	2
44	10	2
45	10	2
50	10	2
51	10	2
65	10	2
67	10	2
70	10	2
10	11	2
20	11	2
25	11	2
34	11	2
48	11	2
55	11	2
56	11	2
59	11	2
63	11	2
64	11	2
67	11	2
68	11	2
73	11	2
77	11	2
82	11	2
94	11	2
96	11	2
97	11	2
1	12	2
28	12	2
37	12	2
39	12	2
41	12	2
46	12	2
48	12	2
58	12	2
59	12	2
63	12	2
71	12	2
79	12	2
81	12	2
83	12	2
89	12	2
92	12	2
93	12	2
97	12	2
19	13	2
23	13	2
35	13	2
37	13	2
39	13	2
42	13	2
44	13	2
47	13	2
52	13	2
60	13	2
64	13	2
65	13	2
71	13	2
75	13	2
78	13	2
80	13	2
82	13	2
85	13	2
88	13	2
92	13	2
96	13	2
24	14	2
25	14	2
26	14	2
31	14	2
37	14	2
42	14	2
45	14	2
55	14	2
56	14	2
57	14	2
58	14	2
62	14	2
63	14	2
64	14	2
65	14	2
72	14	2
73	14	2
74	14	2
75	14	2
78	14	2
79	14	2
81	14	2
93	14	2
96	14	2
18	15	2
22	15	2
23	15	2
27	15	2
35	15	2
36	15	2
38	15	2
39	15	2
45	15	2
51	15	2
53	15	2
68	15	2
69	15	2
70	15	2
71	15	2
72	15	2
80	15	2
84	15	2
87	15	2
89	15	2
92	15	2
93	15	2
17	16	2
23	16	2
27	16	2
28	16	2
34	16	2
36	16	2
38	16	2
40	16	2
42	16	2
53	16	2
55	16	2
62	16	2
64	16	2
66	16	2
73	16	2
81	16	2
86	16	2
98	16	2
13	17	2
19	17	2
20	17	2
31	17	2
39	17	2
47	17	2
62	17	2
63	17	2
66	17	2
67	17	2
69	17	2
72	17	2
73	17	2
75	17	2
7	18	2
8	18	2
9	18	2
10	18	2
16	18	2
37	18	2
61	18	2
75	18	2
9	19	2
15	19	2
16	19	2
21	19	2
24	19	2
25	19	2
43	19	2
6	20	2
10	20	2
14	20	2
