id	cost	xloc	yloc
1	11.64	1	1
2	15.01	2	1
3	5.79	3	1
4	6.32	4	1
5	7.23	5	1
6	10.29	6	1
7	7.33	7	1
8	7.09	8	1
9	7.8	9	1
10	10.2	10	2
11	7.65	1	2
12	9.14	2	2
13	13.71	3	2
14	8.4	4	2
15	15.23	5	2
16	8.66	6	2
17	11.43	7	2
18	16.34	8	2
19	7.7	9	2
20	10.29	10	3
21	15.9	1	3
22	12.39	2	3
23	16.73	3	3
24	9.85	4	3
25	7.87	5	3
26	16.41	6	3
27	13.88	7	3
28	8.19	8	3
29	14.98	9	3
30	9.64	10	4
31	16.64	1	4
32	9.56	2	4
33	9.26	3	4
34	9.79	4	4
35	18.23	5	4
36	18.12	6	4
37	10.24	7	4
38	15.02	8	4
39	11.34	9	4
40	18.03	10	5
41	9.11	1	5
42	18.03	2	5
43	17.36	3	5
44	19.09	4	5
45	16.28	5	5
46	19.2	6	5
47	19.34	7	5
48	15.87	8	5
49	15.22	9	5
50	12.39	10	6
51	19.21	1	6
52	18.69	2	6
53	10.78	3	6
54	17.25	4	6
55	11.12	5	6
56	18.44	6	6
57	20.37	7	6
58	11.76	8	6
59	16.92	9	6
60	16.27	10	7
61	13.98	1	7
62	21.05	2	7
63	18.74	3	7
64	14.59	4	7
65	11.89	5	7
66	17.44	6	7
67	12.43	7	7
68	13.67	8	7
69	15.59	9	7
70	18.65	10	8
71	21.65	1	8
72	17.88	2	8
73	17.46	3	8
74	19.53	4	8
75	14.42	5	8
76	13.02	6	8
77	22.34	7	8
78	12.98	8	8
79	15.42	9	8
80	14.99	10	9
81	14.15	1	9
82	15.94	2	9
83	14.87	3	9
84	14.81	4	9
85	23	5	9
86	13.73	6	9
87	17	7	9
88	22.14	8	9
89	16.9	9	9
90	19.67	10	10
91	17.48	1	10
92	17.92	2	10
93	17.05	3	10
94	22.51	4	10
95	20.14	5	10
96	21.48	6	10
97	21.82	7	10
98	19.87	8	10
99	15.19	9	10
