id	cost
1	11.64
2	15.01
3	5.79
4	6.32
5	7.23
6	10.29
7	7.33
8	7.09
9	7.8
10	10.2
11	7.65
12	9.14
13	13.71
14	8.4
15	15.23
16	8.66
17	11.43
18	16.34
19	7.7
20	10.29
21	15.9
22	12.39
23	16.73
24	9.85
25	7.87
26	16.41
27	13.88
28	8.19
29	14.98
30	9.64
31	16.64
32	9.56
33	9.26
34	9.79
35	18.23
36	18.12
37	10.24
38	15.02
39	11.34
40	18.03
41	9.11
42	18.03
43	17.36
44	19.09
45	16.28
46	19.2
47	19.34
48	15.87
49	15.22
50	12.39
51	19.21
52	18.69
53	10.78
54	17.25
55	11.12
56	18.44
57	20.37
58	11.76
59	16.92
60	16.27
