pu	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	2	1
2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	1
3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	3	1	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	5	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	3	0
6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	2	0	1	5	2
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3	1	1	5	2
8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	2	7	2
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	1	2	4	1
10	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	1	2	2	2	2	1
11	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	4	4	2	4	4
12	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	7	8	1
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	5	5	3	3	2
14	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	2	5	2	6	2
15	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	7	7	3
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	4	3	2	4	3
17	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	3	0	5	3	4	6	15	2
18	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	1	0	0	1	4	10	9	11	1
19	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	2	3	3	1	6	5	12	6
20	0	0	1	0	0	0	1	0	0	0	2	0	0	1	1	1	2	1	3	4	7	3	12	4
21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	1	2	3	7	7	14	4
22	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	1	0	1	6	4	10	9	7
23	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	2	0	3	0	2	3	3	22	3
24	0	0	1	0	0	0	3	0	0	1	1	1	1	2	0	3	4	3	2	4	9	11	31	7
25	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	4	3	3	2	4	15	9	33	5
26	0	0	0	0	0	0	2	3	0	1	0	0	0	2	0	3	4	6	9	5	7	15	22	5
27	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	2	1	6	5	7	6	10	34	7
28	0	0	0	0	0	0	0	1	0	1	1	2	3	0	0	2	1	3	8	7	10	16	28	1
29	1	0	0	1	0	0	0	0	0	2	0	0	1	0	3	0	0	3	4	9	7	10	33	10
30	0	0	0	0	0	0	0	0	0	0	0	1	1	6	3	5	3	5	5	7	16	22	35	10
31	1	0	0	0	0	1	0	2	1	1	1	1	3	2	1	3	2	5	8	10	18	15	33	11
32	0	0	0	0	0	0	2	0	0	1	4	1	3	0	3	5	5	6	4	10	19	16	30	10
33	0	0	0	0	0	0	1	0	0	0	3	1	3	4	3	3	4	3	6	11	7	18	42	10
34	0	0	0	0	0	0	1	0	0	1	2	3	0	1	4	2	1	5	8	8	17	22	34	10
35	0	0	0	0	0	0	2	0	0	1	0	0	2	1	2	3	10	6	5	6	10	25	37	9
36	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	2	5	7	5	5	15	22	43	10
37	0	0	0	0	0	0	0	1	0	3	1	2	2	2	1	5	5	2	5	7	12	19	42	10
38	0	0	1	0	0	1	0	0	1	1	1	1	1	0	2	2	3	3	8	5	14	20	43	12
39	0	0	0	0	0	0	0	1	0	1	1	2	2	5	2	4	2	6	7	9	11	21	34	11
40	0	0	0	0	0	0	1	1	2	0	0	0	1	6	1	2	6	6	5	13	19	16	31	9
41	0	0	0	0	0	0	1	0	2	1	1	2	1	1	3	8	3	3	7	7	8	19	45	7
42	0	0	0	1	0	0	0	2	1	1	3	1	2	2	5	2	4	9	5	10	13	12	39	7
43	0	0	0	0	0	1	1	0	0	1	0	3	0	1	1	1	3	10	2	9	18	19	40	9
44	0	1	0	0	0	2	0	0	0	2	1	1	2	0	3	1	8	5	4	6	14	24	38	7
45	1	0	1	0	0	0	0	0	0	2	1	0	1	2	2	4	3	7	4	8	13	22	40	8
46	0	0	0	0	0	0	1	0	0	0	3	2	3	1	3	3	4	4	5	8	13	17	36	16
47	0	0	0	0	0	0	0	0	0	0	1	3	2	4	3	1	2	3	7	4	13	24	45	7
48	2	0	1	1	0	0	2	0	1	0	2	2	1	3	1	5	4	1	5	13	14	20	33	8
49	0	0	0	1	0	1	1	0	0	1	3	0	1	0	4	4	4	5	5	7	17	18	40	7
50	0	0	0	0	0	1	0	1	1	2	1	1	0	0	5	1	1	6	5	8	11	26	42	7
51	1	0	0	0	0	0	1	0	0	2	0	1	1	1	2	4	3	5	8	11	15	20	31	13
52	0	1	0	0	0	1	0	0	0	0	0	1	2	6	5	4	8	3	4	6	7	26	32	13
53	0	0	0	0	0	0	0	1	0	1	0	1	1	4	2	2	7	3	9	11	14	20	38	5
54	0	1	0	0	0	0	0	0	0	0	3	1	4	4	4	3	4	5	8	8	14	13	41	6
55	0	0	2	1	1	0	1	0	0	1	2	3	0	2	3	2	4	4	7	12	12	19	34	9
56	0	0	0	1	0	0	1	1	0	1	2	0	0	2	3	3	1	8	6	10	16	25	33	6
57	0	0	0	2	0	0	1	1	0	1	0	3	4	2	0	3	1	3	10	15	14	21	31	7
58	0	0	1	0	0	0	0	1	1	1	1	2	0	2	1	3	7	4	5	10	13	18	35	14
59	0	0	0	0	1	0	0	0	1	0	2	2	0	0	0	3	1	5	8	10	15	22	38	11
60	0	0	0	0	0	1	0	0	2	1	3	0	2	4	1	5	5	7	5	8	11	16	38	10
61	0	0	0	0	0	0	0	0	3	0	0	4	3	6	0	4	7	2	4	5	15	22	36	8
62	0	0	0	0	0	1	0	1	0	1	3	0	3	2	0	2	2	5	6	5	10	15	54	9
63	0	0	0	0	0	0	1	2	0	1	2	2	3	2	4	3	2	6	6	7	11	28	33	6
64	0	1	1	0	0	0	0	0	2	3	2	0	2	2	1	2	5	3	5	8	15	24	35	8
65	0	0	2	0	1	0	0	0	0	2	0	1	2	2	3	3	3	4	6	9	10	16	47	8
66	0	0	0	0	1	0	2	1	0	1	1	0	1	1	1	2	2	4	6	14	14	27	34	7
67	0	0	0	0	0	0	0	0	0	2	2	1	0	4	4	4	2	5	6	11	14	17	40	7
68	1	0	0	1	0	0	0	2	0	1	2	1	0	1	2	4	4	4	8	5	12	21	39	11
69	1	0	0	0	0	0	2	0	0	3	0	1	1	4	2	5	2	4	5	9	12	18	40	10
70	0	1	0	0	0	0	1	0	1	2	1	0	1	3	2	4	3	5	7	7	14	23	35	9
71	1	0	0	0	0	1	1	1	0	0	0	2	2	1	2	3	4	3	6	6	13	28	40	5
72	0	0	0	0	0	1	1	1	0	0	1	4	1	2	2	4	2	6	9	6	11	20	38	10
73	0	0	1	1	0	1	0	0	1	3	2	3	0	2	3	2	2	5	9	6	12	18	34	14
74	0	0	0	0	0	0	1	0	0	0	0	1	1	2	3	1	4	6	6	14	8	20	44	8
75	0	0	0	0	1	0	1	1	3	1	0	0	2	2	3	6	2	2	10	8	11	23	40	3
76	0	0	0	1	0	0	2	1	0	0	3	1	1	5	1	4	1	8	6	5	15	15	43	7
77	0	0	0	0	0	0	1	0	0	4	2	1	3	0	5	7	3	3	8	10	15	15	39	3
78	0	0	0	0	0	0	0	0	0	1	1	0	2	2	4	3	0	4	13	10	12	17	39	11
79	0	0	0	1	0	1	0	0	0	1	0	2	1	2	3	3	5	6	3	6	18	19	39	9
80	0	0	0	1	0	0	0	0	2	1	1	1	2	5	2	5	5	5	9	5	10	11	52	2
81	0	0	0	0	0	0	1	0	1	1	0	2	0	2	3	2	4	6	7	15	12	23	32	8
82	0	0	0	0	0	0	0	0	1	0	2	1	2	1	3	1	6	1	7	6	17	20	38	13
83	1	0	0	0	0	0	0	1	3	1	1	2	4	3	3	3	3	6	7	4	8	19	42	8
84	0	1	0	0	0	0	0	0	2	1	0	0	1	3	2	4	3	0	7	12	12	14	49	8
85	0	0	0	0	0	0	0	0	1	0	1	0	2	3	4	4	6	3	7	8	9	20	43	8
86	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	2	4	7	8	8	10	21	45	7
87	0	0	0	0	1	0	1	1	0	0	1	1	3	0	2	3	5	4	4	8	7	18	52	8
88	0	0	0	1	0	0	3	0	1	0	1	1	2	0	6	6	8	11	8	11	12	29	47	13
89	2	0	0	0	0	1	2	1	1	1	1	2	0	4	2	3	1	5	7	17	15	28	54	13
90	2	0	0	0	1	0	0	1	0	3	0	1	3	1	4	4	6	11	10	11	11	32	48	11
91	1	0	0	0	0	0	1	2	0	0	4	0	5	1	6	5	4	6	5	8	16	26	59	11
92	0	0	0	0	0	1	0	2	0	0	6	2	2	1	2	8	4	7	11	21	19	21	42	11
93	0	0	0	1	0	1	1	2	2	0	3	2	4	2	2	1	5	4	10	16	12	22	63	7
94	0	0	0	1	0	0	2	2	0	1	2	1	1	6	4	3	5	6	11	12	17	26	54	6
95	1	0	0	2	1	0	0	0	1	1	3	4	3	1	5	5	9	15	8	15	22	36	62	17
96	0	0	0	0	1	0	1	1	2	4	2	4	2	2	5	4	8	9	15	11	18	39	71	12
97	0	0	0	1	0	1	1	5	0	1	2	2	1	1	5	4	5	6	16	11	21	41	72	15
