id	type	target	spf	target2	targetocc	name	sepnum	sepdistance
1	1	20	2	2	2	A	2	100000
2	1	1	2	2	2	B	2	10
3	1	1	2	3	2	C	2	10
4	1	3	2	2	2	D	2	10
5	2	1	2	-1	2	E	0	10
6	2	1	2	-1	2	F	0	10
7	2	3	2	-1	2	G	0	10
8	2	3	2	-1	2	H	0	10
9	2	2	2	-1	2	I	0	10
10	2	10	2	-1	2	J	0	10
11	2	8	2	-1	2	K	0	10
12	3	20	2	-1	2	L	0	10
13	3	15	2	-1	2	M	0	10
14	3	31	2	-1	2	N	0	10
15	3	27	2	-1	2	O	0	10
16	3	29	2	-1	2	P	0	10
17	0	59	2	-1	2	Q	0	10
18	0	65	2	-1	2	R	0	10
19	0	97	2	-1	2	S	0	10
20	0	147	2	-1	2	T	0	10
21	0	106	2	-1	2	U	0	10
22	0	175	2	-1	2	V	0	10
23	0	170	2	-1	2	W	0	10
24	0	125	2	-1	2	X	0	10
