id	type	target	spf	target2	targetocc	name	sepnum	sepdistance
1	1	0	2	2	2	A	0	100000
2	1	0	2	2	2	B	0	10
3	1	0	2	2	2	C	0	10
4	1	0	2	2	2	D	0	10
5	2	0	2	2	2	E	0	10
6	2	0	2	2	2	F	0	10
7	2	0	2	2	2	G	0	10
8	2	0	2	2	2	H	0	10
9	2	0	2	2	2	I	0	10
10	2	0	2	2	2	J	0	10
11	2	0	2	2	2	K	0	10
12	3	0	2	2	2	L	0	10
13	3	0	2	2	0	M	0	10
14	3	0	2	2	0	N	0	10
15	3	0	2	2	0	O	0	10
16	3	0	2	0	0	P	0	10
17	0	0	2	0	0	Q	0	10
18	0	0	2	0	0	R	0	10
19	0	0	2	0	0	S	0	10
20	0	0	2	0	0	T	0	10
21	0	0	2	0	0	U	0	10
22	0	0	2	0	0	V	0	10
23	0	0	2	0	0	W	0	10
24	0	0	2	0	0	X	0	10
